"category_name","month","avg_review_score","total_reviews"
"dvds_blu_ray","2017-10-01","5.00","4"
"dvds_blu_ray","2017-11-01","3.67","3"
"dvds_blu_ray","2017-12-01","4.00","1"
"dvds_blu_ray","2018-01-01","5.00","2"
"dvds_blu_ray","2018-02-01","5.00","1"
"dvds_blu_ray","2018-03-01","5.00","2"
"dvds_blu_ray","2018-04-01","4.40","5"
"dvds_blu_ray","2018-05-01","3.57","7"
"dvds_blu_ray","2018-06-01","4.67","6"
"dvds_blu_ray","2018-07-01","2.00","1"
"dvds_blu_ray","2018-08-01","5.00","1"
"electronics","2016-10-01","5.00","1"
"electronics","2017-01-01","3.82","11"
"electronics","2017-02-01","4.21","19"
"electronics","2017-03-01","4.35","37"
"electronics","2017-04-01","4.17","48"
"electronics","2017-05-01","3.91","64"
"electronics","2017-06-01","4.18","40"
"electronics","2017-07-01","4.32","90"
"electronics","2017-08-01","3.93","54"
"electronics","2017-09-01","4.17","66"
"electronics","2017-10-01","3.98","62"
"electronics","2017-11-01","3.98","182"
"electronics","2017-12-01","4.02","209"
"electronics","2018-01-01","3.96","344"
"electronics","2018-02-01","3.87","327"
"electronics","2018-03-01","3.82","254"
"electronics","2018-04-01","4.12","200"
"electronics","2018-05-01","4.35","227"
"electronics","2018-06-01","4.44","189"
"electronics","2018-07-01","4.24","135"
"electronics","2018-08-01","4.18","118"
"fashio_female_clothing","2016-10-01","5.00","1"
"fashio_female_clothing","2017-01-01","4.00","2"
"fashio_female_clothing","2017-02-01","3.67","3"
"fashio_female_clothing","2017-03-01","3.00","1"
"fashio_female_clothing","2017-04-01","2.00","1"
"fashio_female_clothing","2017-05-01","4.00","4"
"fashio_female_clothing","2017-06-01","3.67","3"
"fashio_female_clothing","2017-07-01","4.20","5"
"fashio_female_clothing","2017-08-01","4.25","4"
"fashio_female_clothing","2017-09-01","4.25","4"
"fashio_female_clothing","2017-11-01","2.50","2"
"fashio_female_clothing","2018-01-01","5.00","3"
"fashio_female_clothing","2018-02-01","4.00","1"
"fashio_female_clothing","2018-03-01","4.00","4"
"fashio_female_clothing","2018-04-01","4.00","5"
"fashio_female_clothing","2018-08-01","3.67","3"
"fashion_bags_accessories","2016-10-01","3.50","8"
"fashion_bags_accessories","2016-12-01","5.00","1"
"fashion_bags_accessories","2017-01-01","4.36","33"
"fashion_bags_accessories","2017-02-01","4.31","36"
"fashion_bags_accessories","2017-03-01","4.31","65"
"fashion_bags_accessories","2017-04-01","4.20","45"
"fashion_bags_accessories","2017-05-01","4.20","99"
"fashion_bags_accessories","2017-06-01","4.14","79"
"fashion_bags_accessories","2017-07-01","4.32","85"
"fashion_bags_accessories","2017-08-01","4.33","95"
"fashion_bags_accessories","2017-09-01","4.20","122"
"fashion_bags_accessories","2017-10-01","4.04","107"
"fashion_bags_accessories","2017-11-01","3.66","189"
"fashion_bags_accessories","2017-12-01","4.09","134"
"fashion_bags_accessories","2018-01-01","4.44","121"
"fashion_bags_accessories","2018-02-01","4.10","105"
"fashion_bags_accessories","2018-03-01","3.92","136"
"fashion_bags_accessories","2018-04-01","4.43","91"
"fashion_bags_accessories","2018-05-01","4.56","108"
"fashion_bags_accessories","2018-06-01","4.48","86"
"fashion_bags_accessories","2018-07-01","4.62","69"
"fashion_bags_accessories","2018-08-01","4.24","123"
"fashion_childrens_clothes","2017-05-01","5.00","1"
"fashion_childrens_clothes","2017-06-01","5.00","1"
"fashion_childrens_clothes","2017-09-01","5.00","1"
"fashion_childrens_clothes","2017-10-01","5.00","1"
"fashion_childrens_clothes","2018-03-01","5.00","2"
"fashion_childrens_clothes","2018-06-01","5.00","1"
"fashion_male_clothing","2016-10-01","1.00","1"
"fashion_male_clothing","2017-01-01","5.00","1"
"fashion_male_clothing","2017-02-01","4.67","6"
"fashion_male_clothing","2017-03-01","4.00","9"
"fashion_male_clothing","2017-04-01","4.50","4"
"fashion_male_clothing","2017-05-01","2.50","4"
"fashion_male_clothing","2017-06-01","4.00","9"
"fashion_male_clothing","2017-07-01","4.33","9"
"fashion_male_clothing","2017-08-01","3.29","14"
"fashion_male_clothing","2017-09-01","1.94","16"
"fashion_male_clothing","2017-10-01","4.50","10"
"fashion_male_clothing","2017-11-01","3.73","11"
"fashion_male_clothing","2017-12-01","3.75","4"
"fashion_male_clothing","2018-01-01","4.00","6"
"fashion_male_clothing","2018-02-01","3.00","3"
"fashion_male_clothing","2018-05-01","5.00","1"
"fashion_male_clothing","2018-06-01","4.86","7"
"fashion_male_clothing","2018-07-01","5.00","5"
"fashion_male_clothing","2018-08-01","4.67","3"
"fashion_shoes","2016-10-01","5.00","1"
"fashion_shoes","2017-01-01","5.00","1"
"fashion_shoes","2017-02-01","4.33","3"
"fashion_shoes","2017-03-01","4.57","14"
"fashion_shoes","2017-04-01","4.68","22"
"fashion_shoes","2017-05-01","4.27","22"
"fashion_shoes","2017-06-01","3.32","19"
"fashion_shoes","2017-07-01","4.47","19"
"fashion_shoes","2017-08-01","4.67","21"
"fashion_shoes","2017-09-01","4.33","12"
"fashion_shoes","2017-10-01","4.18","17"
"fashion_shoes","2017-11-01","4.39","18"
"fashion_shoes","2017-12-01","4.54","13"
"fashion_shoes","2018-01-01","4.22","9"
"fashion_shoes","2018-02-01","4.10","10"
"fashion_shoes","2018-03-01","3.45","11"
"fashion_shoes","2018-04-01","4.00","11"
"fashion_shoes","2018-05-01","4.50","10"
"fashion_shoes","2018-06-01","4.60","10"
"fashion_shoes","2018-07-01","4.80","5"
"fashion_shoes","2018-08-01","4.67","3"
"fashion_sport","2017-03-01","5.00","1"
"fashion_sport","2017-04-01","3.50","4"
"fashion_sport","2017-05-01","5.00","3"
"fashion_sport","2017-06-01","5.00","5"
"fashion_sport","2017-07-01","4.00","1"
"fashion_sport","2017-08-01","3.00","2"
"fashion_sport","2017-09-01","4.20","5"
"fashion_sport","2017-10-01","5.00","1"
"fashion_sport","2017-11-01","5.00","1"
"fashion_sport","2017-12-01","5.00","1"
"fashion_sport","2018-01-01","4.00","2"
"fashion_sport","2018-03-01","5.00","1"
"fashion_sport","2018-04-01","5.00","1"
"fashion_sport","2018-08-01","3.00","1"
"fashion_underwear_beach","2017-01-01","3.00","2"
"fashion_underwear_beach","2017-02-01","4.00","8"
"fashion_underwear_beach","2017-03-01","3.83","6"
"fashion_underwear_beach","2017-04-01","4.33","3"
"fashion_underwear_beach","2017-05-01","4.29","7"
"fashion_underwear_beach","2017-06-01","5.00","1"
"fashion_underwear_beach","2017-07-01","4.00","3"
"fashion_underwear_beach","2017-08-01","4.38","13"
"fashion_underwear_beach","2017-09-01","4.44","16"
"fashion_underwear_beach","2017-10-01","4.67","3"
"fashion_underwear_beach","2017-11-01","3.20","10"
"fashion_underwear_beach","2017-12-01","4.23","13"
"fashion_underwear_beach","2018-01-01","4.38","8"
"fashion_underwear_beach","2018-02-01","2.83","6"
"fashion_underwear_beach","2018-03-01","3.00","5"
"fashion_underwear_beach","2018-04-01","4.17","6"
"fashion_underwear_beach","2018-05-01","4.40","5"
"fashion_underwear_beach","2018-06-01","3.50","2"
"fashion_underwear_beach","2018-07-01","3.00","2"
"fashion_underwear_beach","2018-08-01","3.00","1"
"fixed_telephony","2016-10-01","4.00","5"
"fixed_telephony","2017-01-01","4.30","20"
"fixed_telephony","2017-02-01","4.14","22"
"fixed_telephony","2017-03-01","3.25","20"
"fixed_telephony","2017-04-01","4.00","6"
"fixed_telephony","2017-05-01","3.40","10"
"fixed_telephony","2017-06-01","4.33","12"
"fixed_telephony","2017-07-01","3.44","9"
"fixed_telephony","2017-08-01","4.65","20"
"fixed_telephony","2017-09-01","2.23","13"
"fixed_telephony","2017-10-01","3.71","7"
"fixed_telephony","2017-11-01","4.00","4"
"fixed_telephony","2017-12-01","4.40","5"
